Date,Open,High,Low,Close,Adj Close,Volume
2019-07-03,151.5399932861328,154.08999633789062,151.3800048828125,153.0500030517578,145.90631103515625,534900
2019-07-05,152.42999267578125,152.89999389648438,151.24000549316406,152.77999877929688,145.64889526367188,272300
2019-07-08,152.33999633789062,152.33999633789062,151.35000610351562,152.07000732421875,144.97203063964844,332900
2019-07-09,151.8000030517578,152.97999572753906,151.75999450683594,152.49000549316406,145.3724365234375,429600
2019-07-10,151.72000122070312,152.58999633789062,149.50999450683594,149.6999969482422,142.71263122558594,537900
2019-07-11,150.94000244140625,151.42999267578125,149.75,150.22000122070312,143.20835876464844,649400
2019-07-12,150.00999450683594,150.72999572753906,147.08999633789062,147.97999572753906,141.07296752929688,716800
2019-07-15,147.91000366210938,149.6699981689453,146.77000427246094,148.72999572753906,141.78793334960938,428100
2019-07-16,149.0800018310547,149.47999572753906,147.5500030517578,148.36000061035156,141.4351806640625,316800
2019-07-17,148.86000061035156,149.14999389648438,147.66000366210938,147.83999633789062,140.93948364257812,341000
2019-07-18,147.91000366210938,148.6999969482422,147.3000030517578,147.8699951171875,140.96807861328125,643600
2019-07-19,148.1699981689453,148.6699981689453,146.17999267578125,146.25,139.42367553710938,473000
2019-07-22,146.64999389648438,147.75999450683594,146.39999389648438,147.22000122070312,140.34841918945312,345700
2019-07-23,147.7100067138672,148.0500030517578,146.1699981689453,147.27000427246094,140.3960723876953,426500
2019-07-24,147.11000061035156,149.14999389648438,146.3800048828125,148.36000061035156,141.4351806640625,395300
2019-07-25,148.00999450683594,149.4199981689453,147.39999389648438,147.89999389648438,140.9966583251953,345400
2019-07-26,148.10000610351562,150.13999938964844,147.69000244140625,149.44000244140625,142.46481323242188,339700
2019-07-29,149.75999450683594,150.7899932861328,149.07000732421875,150.33999633789062,143.3227996826172,257400
2019-07-30,149.25999450683594,149.77999877929688,148.5800018310547,149.52000427246094,142.5410614013672,408800
2019-07-31,149.4499969482422,150.5800018310547,148.16000366210938,148.86000061035156,141.911865234375,493000
2019-08-01,149.0399932861328,151.02999877929688,148.42999267578125,149.08999633789062,142.131103515625,330000
2019-08-02,148.47999572753906,148.69000244140625,147.11000061035156,147.88999938964844,140.9871826171875,277800
2019-08-05,145.47000122070312,146.49000549316406,143.25,144.61000061035156,137.86021423339844,363900
2019-08-06,150.6999969482422,153.6699981689453,148.5500030517578,152.32000732421875,145.21038818359375,660500
2019-08-07,151.64999389648438,153.07000732421875,148.72999572753906,152.92999267578125,145.79183959960938,783800
